7blg_rank1,0.261
7blg_rank2,0.261
7blg_rank3,0.261
7blg_rank4,0.261
7blg_rank5,0.261
7blg_rank6,0.261
7blg_rank7,0.261
7blg_rank8,0.261
7blg_rank9,0.261
7blg_rank10,0.261
7en5_rank1,0.352
7en5_rank2,0.352
7en5_rank3,0.352
7en5_rank4,0.352
7en5_rank5,0.352
7en5_rank6,0.352
7en5_rank7,0.352
7en5_rank8,0.352
7en5_rank9,0.352
7en5_rank10,0.352
7eqr_rank1,0.592
7eqr_rank2,0.592
7eqr_rank3,0.592
7eqr_rank4,0.592
7eqr_rank5,0.592
7eqr_rank6,0.592
7eqr_rank7,0.592
7eqr_rank8,0.592
7eqr_rank9,0.592
7eqr_rank10,0.592
7exj_rank1,0.333
7exj_rank2,0.333
7exj_rank3,0.333
7exj_rank4,0.333
7exj_rank5,0.333
7exj_rank6,0.333
7exj_rank7,0.333
7exj_rank8,0.333
7exj_rank9,0.333
7exj_rank10,0.333
7exo_rank1,0.275
7exo_rank2,0.275
7exo_rank3,0.275
7exo_rank4,0.275
7exo_rank5,0.275
7exo_rank6,0.275
7exo_rank7,0.275
7exo_rank8,0.275
7exo_rank9,0.275
7exo_rank10,0.275
7f9g_rank1,0.565
7f9g_rank2,0.565
7f9g_rank3,0.565
7f9g_rank4,0.565
7f9g_rank5,0.565
7f9g_rank6,0.565
7f9g_rank7,0.565
7f9g_rank8,0.565
7f9g_rank9,0.565
7f9g_rank10,0.565
7jnf_rank1,0.286
7jnf_rank2,0.286
7jnf_rank3,0.286
7jnf_rank4,0.286
7jnf_rank5,0.286
7jnf_rank6,0.286
7jnf_rank7,0.286
7jnf_rank8,0.286
7jnf_rank9,0.286
7jnf_rank10,0.286
7jwf_rank1,0.196
7jwf_rank2,0.196
7jwf_rank3,0.196
7jwf_rank4,0.196
7jwf_rank5,0.196
7jwf_rank6,0.196
7jwf_rank7,0.196
7jwf_rank8,0.196
7jwf_rank9,0.196
7jwf_rank10,0.196
7lvy_rank1,1.189
7lvy_rank2,1.189
7lvy_rank3,1.189
7lvy_rank4,1.189
7lvy_rank5,1.189
7lvy_rank6,1.189
7lvy_rank7,1.189
7lvy_rank8,1.189
7lvy_rank9,1.189
7lvy_rank10,1.189
7lvy_rank1,1.189
7lvy_rank2,1.189
7lvy_rank3,1.189
7lvy_rank4,1.189
7lvy_rank5,1.189
7lvy_rank6,1.189
7lvy_rank7,1.189
7lvy_rank8,1.189
7lvy_rank9,1.189
7lvy_rank10,1.189
7mzs_rank1,0.175
7mzs_rank2,0.175
7mzs_rank3,0.175
7mzs_rank4,0.175
7mzs_rank5,0.175
7mzs_rank6,0.175
7mzs_rank7,0.175
7mzs_rank8,0.175
7mzs_rank9,0.175
7mzs_rank10,0.175
7p8g_rank1,0.402
7p8g_rank2,0.402
7p8g_rank3,0.402
7p8g_rank4,0.402
7p8g_rank5,0.402
7p8g_rank6,0.402
7p8g_rank7,0.402
7p8g_rank8,0.402
7p8g_rank9,0.402
7p8g_rank10,0.402
7pgk_rank1,1.464
7pgk_rank2,1.464
7pgk_rank3,1.464
7pgk_rank4,1.464
7pgk_rank5,1.464
7pgk_rank6,1.464
7pgk_rank7,1.464
7pgk_rank8,1.464
7pgk_rank9,1.464
7pgk_rank10,1.464
7pug_rank1,0.358
7pug_rank2,0.358
7pug_rank3,0.358
7pug_rank4,0.358
7pug_rank5,0.358
7pug_rank6,0.358
7pug_rank7,0.358
7pug_rank8,0.358
7pug_rank9,0.358
7pug_rank10,0.358
7rft_rank1,1.535
7rft_rank2,1.535
7rft_rank3,1.535
7rft_rank4,1.535
7rft_rank5,1.535
7rft_rank6,1.535
7rft_rank7,1.535
7rft_rank8,1.535
7rft_rank9,1.535
7rft_rank10,1.535
7rpy_rank1,2.194
7rpy_rank2,2.194
7rpy_rank3,2.194
7rpy_rank4,2.194
7rpy_rank5,2.194
7rpy_rank6,2.194
7rpy_rank7,2.194
7rpy_rank8,2.194
7rpy_rank9,2.194
7rpy_rank10,2.194
7toh_rank1,0.345
7toh_rank2,0.345
7toh_rank3,0.345
7toh_rank4,0.345
7toh_rank5,0.345
7toh_rank6,0.345
7toh_rank7,0.345
7toh_rank8,0.345
7toh_rank9,0.345
7toh_rank10,0.345
7tvp_rank1,0.476
7tvp_rank2,0.476
7tvp_rank3,0.476
7tvp_rank4,0.476
7tvp_rank5,0.476
7tvp_rank6,0.476
7tvp_rank7,0.476
7tvp_rank8,0.476
7tvp_rank9,0.476
7tvp_rank10,0.476
7vi7_rank1,0.398
7vi7_rank2,0.398
7vi7_rank3,0.398
7vi7_rank4,0.398
7vi7_rank5,0.398
7vi7_rank6,0.398
7vi7_rank7,0.398
7vi7_rank8,0.398
7vi7_rank9,0.398
7vi7_rank10,0.398
7vu1_rank1,0.413
7vu1_rank2,0.413
7vu1_rank3,0.413
7vu1_rank4,0.413
7vu1_rank5,0.413
7vu1_rank6,0.413
7vu1_rank7,0.413
7vu1_rank8,0.413
7vu1_rank9,0.413
7vu1_rank10,0.413
7vwb_rank1,0.605
7vwb_rank2,0.605
7vwb_rank3,0.605
7vwb_rank4,0.605
7vwb_rank5,0.605
7vwb_rank6,0.605
7vwb_rank7,0.605
7vwb_rank8,0.605
7vwb_rank9,0.605
7vwb_rank10,0.605
7w11_rank1,0.846
7w11_rank2,0.846
7w11_rank3,0.846
7w11_rank4,0.846
7w11_rank5,0.846
7w11_rank6,0.846
7w11_rank7,0.846
7w11_rank8,0.846
7w11_rank9,0.846
7w11_rank10,0.846
7w11_rank1,0.846
7w11_rank2,0.846
7w11_rank3,0.846
7w11_rank4,0.846
7w11_rank5,0.846
7w11_rank6,0.846
7w11_rank7,0.846
7w11_rank8,0.846
7w11_rank9,0.846
7w11_rank10,0.846
7w18_rank1,0.526
7w18_rank2,0.526
7w18_rank3,0.526
7w18_rank4,0.526
7w18_rank5,0.526
7w18_rank6,0.526
7w18_rank7,0.526
7w18_rank8,0.526
7w18_rank9,0.526
7w18_rank10,0.526
7xtn_rank1,1.126
7xtn_rank2,1.126
7xtn_rank3,1.126
7xtn_rank4,1.126
7xtn_rank5,1.126
7xtn_rank6,1.126
7xtn_rank7,1.126
7xtn_rank8,1.126
7xtn_rank9,1.126
7xtn_rank10,1.126
7ywf_rank1,0.559
7ywf_rank2,0.559
7ywf_rank3,0.559
7ywf_rank4,0.559
7ywf_rank5,0.559
7ywf_rank6,0.559
7ywf_rank7,0.559
7ywf_rank8,0.559
7ywf_rank9,0.559
7ywf_rank10,0.559
7zoo_rank1,0.359
7zoo_rank2,0.359
7zoo_rank3,0.359
7zoo_rank4,0.359
7zoo_rank5,0.359
7zoo_rank6,0.359
7zoo_rank7,0.359
7zoo_rank8,0.359
7zoo_rank9,0.359
7zoo_rank10,0.359
8ad2_rank1,0.559
8ad2_rank2,0.559
8ad2_rank3,0.559
8ad2_rank4,0.559
8ad2_rank5,0.559
8ad2_rank6,0.559
8ad2_rank7,0.559
8ad2_rank8,0.559
8ad2_rank9,0.559
8ad2_rank10,0.559
8axs_rank1,0.737
8axs_rank2,0.737
8axs_rank3,0.737
8axs_rank4,0.737
8axs_rank5,0.737
8axs_rank6,0.737
8axs_rank7,0.737
8axs_rank8,0.737
8axs_rank9,0.737
8axs_rank10,0.737
8bf3_rank1,0.389
8bf3_rank2,0.389
8bf3_rank3,0.389
8bf3_rank4,0.389
8bf3_rank5,0.389
8bf3_rank6,0.389
8bf3_rank7,0.389
8bf3_rank8,0.389
8bf3_rank9,0.389
8bf3_rank10,0.389
8csf_rank1,0.461
8csf_rank2,0.461
8csf_rank3,0.461
8csf_rank4,0.461
8csf_rank5,0.461
8csf_rank6,0.461
8csf_rank7,0.461
8csf_rank8,0.461
8csf_rank9,0.461
8csf_rank10,0.461
8csf_rank1,0.461
8csf_rank2,0.461
8csf_rank3,0.461
8csf_rank4,0.461
8csf_rank5,0.461
8csf_rank6,0.461
8csf_rank7,0.461
8csf_rank8,0.461
8csf_rank9,0.461
8csf_rank10,0.461
8csf_rank1,0.461
8csf_rank2,0.461
8csf_rank3,0.461
8csf_rank4,0.461
8csf_rank5,0.461
8csf_rank6,0.461
8csf_rank7,0.461
8csf_rank8,0.461
8csf_rank9,0.461
8csf_rank10,0.461
8d0r_rank1,0.396
8d0r_rank2,0.396
8d0r_rank3,0.396
8d0r_rank4,0.396
8d0r_rank5,0.396
8d0r_rank6,0.396
8d0r_rank7,0.396
8d0r_rank8,0.396
8d0r_rank9,0.396
8d0r_rank10,0.396
8d0r_rank1,0.396
8d0r_rank2,0.396
8d0r_rank3,0.396
8d0r_rank4,0.396
8d0r_rank5,0.396
8d0r_rank6,0.396
8d0r_rank7,0.396
8d0r_rank8,0.396
8d0r_rank9,0.396
8d0r_rank10,0.396
8dzd_rank1,0.243
8dzd_rank2,0.243
8dzd_rank3,0.243
8dzd_rank4,0.243
8dzd_rank5,0.243
8dzd_rank6,0.243
8dzd_rank7,0.243
8dzd_rank8,0.243
8dzd_rank9,0.243
8dzd_rank10,0.243
8edi_rank1,0.471
8edi_rank2,0.471
8edi_rank3,0.471
8edi_rank4,0.471
8edi_rank5,0.471
8edi_rank6,0.471
8edi_rank7,0.471
8edi_rank8,0.471
8edi_rank9,0.471
8edi_rank10,0.471
8ic1_rank1,0.316
8ic1_rank2,0.316
8ic1_rank3,0.316
8ic1_rank4,0.316
8ic1_rank5,0.316
8ic1_rank6,0.316
8ic1_rank7,0.316
8ic1_rank8,0.316
8ic1_rank9,0.316
8ic1_rank10,0.316
8inp_rank1,0.533
8inp_rank2,0.533
8inp_rank3,0.533
8inp_rank4,0.533
8inp_rank5,0.533
8inp_rank6,0.533
8inp_rank7,0.533
8inp_rank8,0.533
8inp_rank9,0.533
8inp_rank10,0.533
8inp_rank1,0.533
8inp_rank2,0.533
8inp_rank3,0.533
8inp_rank4,0.533
8inp_rank5,0.533
8inp_rank6,0.533
8inp_rank7,0.533
8inp_rank8,0.533
8inp_rank9,0.533
8inp_rank10,0.533
8ped_rank1,0.326
8ped_rank2,0.326
8ped_rank3,0.326
8ped_rank4,0.326
8ped_rank5,0.326
8ped_rank6,0.326
8ped_rank7,0.326
8ped_rank8,0.326
8ped_rank9,0.326
8ped_rank10,0.326
